name,developer,genre_1,genre_2,price_category,playtime_category,platform_support,recommended,total_ratings,positive_ratio,bayesian_rating,review_tier
Counter-Strike,valve,action,fps,budget,long,multiplatform,yes,127873,0.9738881546534452,0.9733527752854638,overwhelmingly_positive
Team Fortress Classic,valve,action,fps,budget,short,multiplatform,yes,3951,0.8397873955960516,0.8331087430401671,mostly_positive
Day of Defeat,valve,fps,world_war_ii,budget,short,multiplatform,yes,3814,0.8956476140534871,0.8846731323927444,very_positive
Deathmatch Classic,valve,action,fps,budget,short,multiplatform,yes,1540,0.8266233766233766,0.8133398188389948,mostly_positive
Half-Life: Opposing Force,gearbox_software,fps,action,budget,medium,multiplatform,yes,5538,0.9479956663055255,0.9375719881232872,very_positive
Ricochet,valve,action,fps,budget,short,multiplatform,yes,3442,0.8012783265543288,0.7967785319785543,mostly_positive
Half-Life,valve,fps,classic,budget,long,multiplatform,yes,28855,0.9618783573037601,0.9596482684501372,overwhelmingly_positive
Counter-Strike: Condition Zero,valve,action,fps,budget,medium,multiplatform,yes,13559,0.8938712294416993,0.8906519421793601,very_positive
Half-Life: Blue Shift,gearbox_software,fps,action,budget,medium,multiplatform,yes,4242,0.900990099009901,0.8906968883011339,very_positive
Half-Life 2,valve,fps,action,budget,medium,multiplatform,yes,70321,0.9656006029493324,0.9646641263457577,overwhelmingly_positive
Counter-Strike: Source,valve,action,fps,budget,long,multiplatform,yes,80137,0.9563622296816702,0.9555744901806849,overwhelmingly_positive
Half-Life: Source,valve,fps,action,free,short,multiplatform,yes,4820,0.7815352697095436,0.7794033723952637,mostly_positive
Day of Defeat: Source,valve,fps,world_war_ii,budget,long,multiplatform,yes,11699,0.8965723566116762,0.8927865044306817,very_positive
Half-Life 2: Deathmatch,valve,action,fps,budget,medium,multiplatform,yes,6807,0.8843837226384604,0.8785064396600183,very_positive
Half-Life 2: Lost Coast,valve,fps,action,free,short,multiplatform,yes,6803,0.8500661472879611,0.8456349805242502,very_positive
Half-Life Deathmatch: Source,valve,action,fps,free,short,multiplatform,no,1835,0.7422343324250681,0.7426441530040984,mostly_positive
Half-Life 2: Episode One,valve,fps,action,budget,short,multiplatform,yes,8425,0.9386350148367952,0.9319822655202006,very_positive
Portal,valve,puzzle,action,budget,short,multiplatform,yes,52881,0.9795767856129801,0.9782543627736174,overwhelmingly_positive
Half-Life 2: Episode Two,valve,fps,action,budget,medium,multiplatform,yes,14598,0.9523222359227291,0.9481504407748522,overwhelmingly_positive
Team Fortress 2,valve,free_to_play,fps,free,long,multiplatform,yes,549915,0.9381067983233773,0.9380015907720868,very_positive
Left 4 Dead,valve,zombies,fps,budget,medium,multiplatform,yes,18899,0.9498386157997778,0.9466402034826684,very_positive
Left 4 Dead 2,valve,zombies,fps,budget,long,multiplatform,yes,260207,0.9676488334287702,0.9673926046772784,overwhelmingly_positive
Dota 2,valve,free_to_play,moba,free,long,multiplatform,yes,1005586,0.8587102445738107,0.85867637611684,very_positive
Portal 2,valve,puzzle,action,budget,medium,multiplatform,yes,140111,0.9865035578933845,0.9859878874636869,overwhelmingly_positive
Alien Swarm,valve,free_to_play,action,free,medium,windows_only,yes,18376,0.9487919024814976,0.945520736060385,very_positive
Counter-Strike: Global Offensive,valvehidden_path_entertainment,fps,shooter,free,long,multiplatform,yes,3046717,0.8679519627192155,0.8679398721000453,very_positive
Rag Doll Kung Fu,mark_healey,indie,fighting,budget,short,windows_only,no,57,0.7017543859649122,0.73822203547269,mostly_positive
Red Orchestra: Ostfront 41-45,tripwire_interactive,world_war_ii,action,budget,short,multiplatform,yes,1785,0.8750700280112045,0.8563766266972423,very_positive
Killing Floor,tripwire_interactive,fps,zombies,mid_price,long,multiplatform,yes,56359,0.9529977465888323,0.9518972319783927,overwhelmingly_positive
SiN Episodes: Emergence,ritual_entertainment,action,fps,budget,short,windows_only,yes,529,0.8846880907372401,0.8341921190153805,very_positive
Darwinia,introversion_software,strategy,indie,budget,short,multiplatform,no,630,0.7492063492063492,0.7478981361975809,mostly_positive
Uplink,introversion_software,hacking,indie,budget,short,multiplatform,yes,1754,0.9133409350057012,0.888775689709713,very_positive
DEFCON,introversion_software,strategy,indie,budget,short,multiplatform,yes,2401,0.8567263640149938,0.8443336788832841,very_positive
Multiwinia,introversion_software,indie,rts,budget,short,multiplatform,yes,443,0.8306997742663657,0.7961578286187756,mostly_positive
Dangerous Waters,sonalysts,strategy,simulation,mid_price,short,windows_only,yes,184,0.7608695652173914,0.7511265840160132,mostly_positive
Space Empires IV Deluxe,malfador_machinations,strategy,g_4x,budget,short,windows_only,yes,138,0.8115942028985508,0.7660850837071925,mostly_positive
Disciples II: Rise of the Elves ,strategy_first,strategy,turn_based_strategy,budget,short,windows_only,yes,559,0.8067978533094812,0.7852680636364964,mostly_positive
Disciples II: Gallean's Return,strategy_first,turn_based_strategy,strategy,budget,short,windows_only,yes,642,0.7632398753894081,0.7574790516600322,mostly_positive
Iron Warriors: T - 72 Tank Command ,strategy_first,simulation,strategy,budget,short,windows_only,no,239,0.5732217573221757,0.6689151515097409,mixed
Space Empires V,malfador_machinations,strategy,g_4x,mid_price,short,windows_only,no,276,0.6920289855072463,0.7196966435134555,mixed
Arx Fatalis,arkane_studios,rpg,classic,budget,short,windows_only,yes,777,0.8635778635778636,0.8305898483414581,very_positive
Source Filmmaker,valve,animation_modeling,video_production,free,short,windows_only,yes,16194,0.9313943435840435,0.9280068671434311,very_positive
Earth 2160,reality_pump_studios,strategy,rts,budget,medium,multiplatform,no,736,0.6766304347826086,0.6964722651194502,mixed
Two Worlds Epic Edition,reality_pump_studios,rpg,open_world,budget,medium,multiplatform,no,3711,0.7157100511991377,0.7179120585050487,mostly_positive
Dark Messiah of Might & Magic,arkane_studios,rpg,action,budget,medium,windows_only,yes,4702,0.9327945555082944,0.9215404371578869,very_positive
Quake III Arena,id_software,fps,action,mid_price,short,windows_only,yes,1428,0.9537815126050421,0.9175609182081889,overwhelmingly_positive
Quake IV,ravensoft,fps,action,mid_price,short,windows_only,yes,1062,0.8389830508474576,0.8183151737619312,mostly_positive
Wolfenstein 3D,id_software,fps,classic,budget,short,windows_only,yes,1860,0.9532258064516129,0.9243265123443289,overwhelmingly_positive
Ultimate Doom,id_software,classic,fps,budget,short,windows_only,yes,3962,0.9351337708228168,0.921760972938468,very_positive
Final DOOM,id_software,fps,action,budget,short,windows_only,yes,655,0.8748091603053435,0.8340788132604715,very_positive
DOOM II,id_software,classic,fps,budget,short,windows_only,yes,2699,0.9325676176361616,0.9138196954530678,very_positive
QUAKE,id_software,fps,classic,budget,short,windows_only,yes,2754,0.9506172839506173,0.930433944552636,overwhelmingly_positive
QUAKE II,id_software,fps,action,budget,short,windows_only,yes,1476,0.9275067750677507,0.8967034159142737,very_positive
QUAKE II Mission Pack: The Reckoning,xatrix_entertainment,action,fps,budget,short,windows_only,yes,77,0.8441558441558441,0.7653720601160486,mostly_positive
QUAKE II Mission Pack: Ground Zero,rogue_entertainment,action,fps,budget,short,windows_only,no,87,0.6206896551724138,0.7171712316892774,mixed
QUAKE III: Team Arena,id_software,action,fps,mid_price,short,windows_only,yes,139,0.7769784172661871,0.7552283978673129,mostly_positive
HeXen: Beyond Heretic,raven_software,action,fps,budget,short,windows_only,yes,275,0.9054545454545454,0.8218178550673918,very_positive
HeXen: Deathkings of the Dark Citadel,raven_software,action,fps,budget,short,windows_only,no,77,0.7402597402597403,0.744151900964855,mostly_positive
Heretic: Shadow of the Serpent Riders,raven_software,classic,action,budget,short,windows_only,yes,446,0.9349775784753364,0.8586397676457779,very_positive
The Ship: Murder Party,outerlight_ltd,indie,action,free,short,windows_only,yes,5611,0.8588486900730707,0.8530782044770343,very_positive
Bloody Good Time,outerlight_ltd,action,fps,budget,short,windows_only,yes,866,0.7644341801385681,0.759472784445755,mostly_positive
Shadowgrounds,frozenbyte,action,sci_fi,budget,short,multiplatform,yes,1221,0.7968877968877969,0.7866832785428997,mostly_positive
Gumboy - Crazy Adventures™,cinemax_sro,indie,unknown,free,short,windows_only,no,98,0.5306122448979592,0.6923247906124381,mixed
Alpha Prime,black_element,action,fps,budget,short,windows_only,no,1133,0.5383936451897617,0.5816784833661901,mixed
Vampire: The Masquerade - Bloodlines,troika_games,rpg,vampire,mid_price,medium,windows_only,yes,6523,0.9445040625479074,0.9357387170839441,very_positive
GUN™,neversoft,western,action,budget,medium,windows_only,yes,827,0.8948004836759371,0.8549647441559454,very_positive
Call of Duty®,infinity_ward,fps,world_war_ii,mid_price,medium,windows_only,yes,1672,0.9300239234449761,0.9018992224461209,very_positive
Call of Duty® 2,infinity_wardaspyr_mac,action,world_war_ii,mid_price,medium,multiplatform,yes,2670,0.9116104868913858,0.8947963860820709,very_positive
