name,genre_1,price,tier,total_votes,pos_ratio,p_bayes,p_ml,b_rating,score_finale
Broforce,america,mid_price,overwhelmingly_positive,32092,96.7,0.925,0.828,0.965,0.9207
Fran Bow,horror,mid_price,overwhelmingly_positive,5088,96.2,0.997,0.78,0.95,0.9194
Ultimate Chicken Horse,local_multiplayer,mid_price,very_positive,8359,94.6,0.925,0.828,0.939,0.9078
Batman: Arkham City - Game of the Year Edition,action,mid_price,overwhelmingly_positive,27250,95.4,0.995,0.729,0.952,0.9067
Alien: Isolation,horror,mid_price,very_positive,26492,92.6,0.997,0.78,0.924,0.9064
Counter-Strike,action,budget,overwhelmingly_positive,127873,97.4,0.997,0.651,0.973,0.8986
N++ (NPLUSPLUS),platformer,mid_price,overwhelmingly_positive,1683,95.1,0.925,0.828,0.92,0.898
Assault Android Cactus,twin_stick_shooter,mid_price,very_positive,1353,94.8,0.925,0.828,0.911,0.8936
Turok,action,mid_price,overwhelmingly_positive,1687,95.7,0.995,0.729,0.925,0.8932
Tomb Raider,adventure,mid_price,overwhelmingly_positive,97612,95.8,0.869,0.777,0.957,0.8903
Mad Max,open_world,mid_price,very_positive,40033,90.5,0.925,0.828,0.904,0.8901
Counter-Strike: Source,action,budget,overwhelmingly_positive,80137,95.6,0.997,0.651,0.956,0.8897
Hitman: Absolution™,stealth,mid_price,very_positive,25755,90.4,0.925,0.828,0.902,0.8892
Killing Floor,fps,mid_price,overwhelmingly_positive,56359,95.3,0.854,0.783,0.952,0.8851
Sleeping Dogs: Definitive Edition,open_world,mid_price,very_positive,17433,89.1,0.925,0.828,0.888,0.8824
Dust: An Elysian Tail,action,mid_price,overwhelmingly_positive,15689,96.0,0.842,0.775,0.956,0.8821
Batman: Arkham Asylum Game of the Year Edition,action,mid_price,overwhelmingly_positive,21162,95.9,0.842,0.775,0.956,0.8821
Serious Sam 3: BFE,fps,mid_price,very_positive,17551,88.7,0.925,0.828,0.885,0.8807
PULSAR: Lost Colony,space,mid_price,very_positive,2201,90.4,0.925,0.828,0.885,0.8806
Monstrum,horror,mid_price,very_positive,1618,89.7,0.997,0.776,0.873,0.8799
Left 4 Dead,zombies,budget,very_positive,18899,95.0,0.837,0.785,0.947,0.8789
Immortal Redneck,rogue_lite,mid_price,very_positive,1383,91.0,0.925,0.828,0.881,0.8787
Ravenfield,fps,mid_price,very_positive,9688,94.1,0.854,0.783,0.935,0.8768
Left 4 Dead 2,zombies,budget,overwhelmingly_positive,260207,96.8,0.809,0.761,0.967,0.8762
Mafia II,action,mid_price,very_positive,33300,94.4,0.842,0.775,0.943,0.8753
Sally Face,horror,budget,overwhelmingly_positive,1895,96.7,0.995,0.633,0.936,0.8752
Blackwake,pirates,mid_price,very_positive,10719,87.2,0.925,0.828,0.869,0.8727
Half-Life: Opposing Force,fps,budget,very_positive,5538,94.8,0.837,0.773,0.938,0.8715
Ziggurat,fps,mid_price,very_positive,3080,86.9,0.925,0.845,0.858,0.8712
Saints Row: The Third,open_world,budget,overwhelmingly_positive,46687,96.0,0.809,0.755,0.958,0.8702
Brutal Legend,action,mid_price,very_positive,13721,93.4,0.842,0.775,0.93,0.869
Shadow Warrior,action,mid_price,very_positive,20142,92.9,0.842,0.775,0.927,0.8673
Bastion,indie,mid_price,overwhelmingly_positive,28985,96.2,0.785,0.76,0.96,0.8663
Saints Row IV,open_world,mid_price,very_positive,59036,91.6,0.854,0.778,0.915,0.8655
Geometry Dash,music,budget,very_positive,55727,94.6,0.809,0.755,0.945,0.8636
Call of Duty® 4: Modern Warfare®,fps,mid_price,very_positive,9546,91.4,0.854,0.778,0.909,0.8623
Robot Roller-Derby Disco Dodgeball,fps,budget,very_positive,3414,92.4,0.837,0.785,0.91,0.8605
Call of Duty®: Modern Warfare® 2,action,mid_price,very_positive,32832,91.4,0.842,0.775,0.912,0.8602
Transistor,indie,mid_price,overwhelmingly_positive,23320,95.0,0.785,0.76,0.948,0.8601
STAR WARS™ Jedi Knight - Jedi Academy™,star_wars,budget,very_positive,6014,94.5,0.809,0.755,0.936,0.8588
Insurgency,fps,budget,very_positive,101925,90.6,0.837,0.785,0.906,0.8584
DUSK,fps,mid_price,overwhelmingly_positive,3688,97.6,0.773,0.738,0.959,0.8572
